Sickness_Name,Symptoms
vaginal yeast infections,"burning redness and swelling the vagina and the vulva the outer part the female genitals 
 pain burning when you pee 
 pain during sex 
 thick white odorless discharge similar cottage cheese 
"
whooping cough,"get lots 
 eat small meals often you feel eating less more often can help prevent the vomiting sometimes caused harsh coughing spells 
 clean air keeping the air around you free dust smoke and other irritants can help soothe coughing 
 drink fluids stay hydrated drinking lots water juice 
"
noonan syndrome,"widely spaced 
 deep groove between the nose and 
 low set 
 short neck 
 extra 
 small lower jaw 
 high arch the roof the 
 crooked teeth 
"
wolf-hirschhorn syndrome,"bulging wide set 
 droopy eyelids and other 
 cleft lip 
 downturned 
 low birth weight 
 microcephaly 
 underdeveloped muscles 
 scoliosis 
 heart and kidney problems 
 failure thrive 
 physical 
 surgery repair defects 
 support through social services 
 genetic counseling 
 special education 
 controlling seizures 
 drug therapy 
"
whiplash,"neck pain 
 headaches 
 pain the 
 low 
 pain numbness the arm and hand 
 dizziness 
 difficulty concentrating remembering 
 irritability sleep disturbances 
"
west nile virus,"fever 
 headache 
 fatigue 
 skin rash 
 swollen lymph glands some cases but not others 
 eye pain 
 fever 
 headache 
 stiff neck 
 changes consciousness ranging from mild sluggishness severe mental confusion convulsions 
 fever and headache 
 neurological symptoms including paralysis one more limbs palsy may occur 
 tremors and movement problems sometimes occur 
"
west syndrome,"crankiness 
 loss appetite 
 changes sleep patterns such sleeping more during the day and less night 
 acting like they can see 
 slowed development 
 regression 
"
tinea versicolor,"patches that are white pink red brown and may lighter darker than the skin around them 
 spots that don tan the way the rest your skin does 
 spots that show more boldly when you tan 
 spots that may occur anywhere your body but are most commonly seen your neck chest back and arms 
 spots that are dry and scaly and may 
"
normal pressure hydrocephalus,"memory loss 
 speech problems 
 apathy indifference and withdrawal 
 changes behavior mood 
 difficulties with reasoning paying attention judgment 
 walking problems 
 unsteadiness 
 leg weakness 
 sudden falls 
 shuffling steps 
 difficulty taking the first step feet were stuck the floor 
 getting stuck freezing while walking 
 inability hold urine 
 inability hold stool feces less common 
 frequent urination 
 urgency urinate 
 headache 
 nausea 
 difficulty focusing 
"
tick bites,"small hard bump sore 
 redness 
 swelling 
 body aches 
 chills 
 feeling very 
 
 
 you can move your arms legs part your face 
 hard 
 your 
 you have severe headache 
 you feel weakness your arms legs 
"
waldenstrom's macroglobulinemia,"headaches 
 night sweats 
 lack appetite and weight loss without trying 
 frequent infections 
 fevers 
 swollen belly lymph nodes 
 confusion dizziness and clumsiness 
 shortness breath 
 changes vision such blurriness 
 numbness tingling your hands feet 
"
thyroid cancer,"neck throat pain 
 lump your neck 
 difficulty swallowing 
 vocal changes hoarseness 
 cough 
"
thrombophlebitis,"one leg seems warmer than the other swollen red painful irritated 
 the affected limb becomes pale cold you start feeling chills and fever 
 sudden coughing which may bring blood 
 sharp chest pain chest tightness 
 pain your shoulder arm back jaw 
 rapid breathing shortness breath 
 pain when you breathe 
 severe lightheadedness 
 fast heartbeat 
"
tenosynovitis,"shoulder 
 upper arm 
 forearm 
 hands and fingers 
 knee 
 achilles thick ropey tissue that runs from 
 pain 
 catching clicking when you use 
 your symptoms typically worsen when you try squeeze grab something turn your wrist 
"
geographic tongue,"ask you move your tongue different directions 
 touch your tongue feel changes the texture 
 check for any tenderness 
 see there are any signs infection such swollen lymph nodes your neck 
"
tendinosis,"pain the site the tendon and surrounding area pain may gradually build sudden and severe especially 
 loss motion the shoulder called adhesive capsulitis frozen shoulder 
"
tonsillitis,"throat pain tenderness 
 fever 
 red tonsils 
 white yellow coating your tonsils 
 painful blisters ulcers your throat 
 headache 
 loss appetite 
 ear pain 
 trouble swallowing 
 swollen glands 
 fever and chills 
 bad breath 
 scratchy muffled voice 
 stiff neck 
 upset stomach 
 vomiting 
 stomach pain 
 drooling 
 not wanting eat swallow 
"
teething,"swollen tender gums 
 fussiness and crying 
 slightly raised temperature less than 101 
 gnawing wanting chew hard things 
 lots drool which can cause rash their face 
 coughing 
 rubbing their cheek pulling their ear 
 bringing their hands their mouth 
 changes eating sleeping patterns 
"
thrombocytopenia (low platelet count),"blood smear look your platelets under microscope and see how healthy they are 
 
 tests check that your blood clots the way should 
"
tmj disorder,"tmj pain tenderness your face jaw joint area and neck and shoulders and around your ears when you chew speak open your 
 problems when you try open your mouth wide 
 jaws that get stuck lock the open closed mouth position 
 jaw clicking popping grating sounds the joint when you open close your mouth chew this may may not painful 
 tired feeling your face 
 trouble chewing sudden uncomfortable bite the upper and lower 
 swelling the side your face 
 toothaches 
 earaches 
 hearing problems ringing your ears tinnitus 
 headaches migraine 
 dizziness 
 numbness tingling your fingers 
"
childhood depression,"changes appetite either increased appetite decreased 
 changes sleep sleeplessness excessive 
 continuous feelings sadness hopelessness 
 difficulty concentrating 
 fatigue 
 feelings worthlessness guilt 
 impaired thinking concentration 
 increased sensitivity rejection 
 irritability anger 
 loss interest hobbies and other interests 
 physical complaints such stomachaches headaches that not respond treatment 
 reduced ability function during events and activities home with friends school during extracurricular activities when involved with hobbies other interests 
 social withdrawal 
 thoughts death 
 vocal outbursts crying 
"
felty's syndrome,"drugs 
 drugs that affect your 
 drugs that stimulate your white blood cells granulocyte colony stimulating factor csf can help increase the number white blood cells and help fight infection 
 home care your doctor will tell you how much physical activity and rest you need heating pad may help with mild aches and pains nonsteroidal anti inflammatory drug nsaid such 
 surgery your severe and other treatments don work your doctor may recommend that your spleen taken out this could return your red and white blood cells normal levels and may lower your risk infection for indefinite amount time 
"
congenital heart disease explained,"bluish tint the 
 fast 
 poor weight gain 
 lung 
 inability 
"
spinal muscular atrophy,"has your baby missed any developmental milestones such holding their head rolling over 
 does your child have trouble sitting standing their own 
 have you seen your child have trouble 
 when did you first notice the symptoms 
 has anyone your family had similar symptoms 
 nerve tests such electromyogram emg 
 
 mri 
 muscle tissue biopsy 
 breathing 
 swallowing and nutrition 
 movement 
 back issues 
"
spinal stenosis,"sciatica 
 foot drop 
 hard time standing walking 
 loss 
 radiculopathy 
 myelopathy 
 cauda equina syndrome 
 exercise 
 apply heat and cold 
 practice good posture 
 lose weight 
 numbness 
 weakness 
 problems with balance 
 loss bladder and bowel control 
 paralysis 
"
brown recluse spiders,"clean with soap and water 
 apply 
 you were bitten arm leg keep raised while you resting this can reduce swelling 
 put ice 
 take over the counter pain medicine 
 watch for more severe symptoms 
 the bite has formed ulcer blister with dark blue purple black center 
 you extreme pain 
 you have infection the site the bite 
 you having trouble breathing 
"
tuberculosis (tb),"cough that lasts more than weeks 
 chest pain 
 coughing blood 
 feeling tired all the time 
 night sweats 
 chills 
 fever 
 loss appetite 
 weight loss 
 inactive move slowly 
 have bulge the soft spot their head 
 very fussy 
 throw have trouble feeding 
"
smallpox,"flu 
 headache 
 body aches 
 intense 
 some 
 high fever 
 mouth 
 
 the rash starts with flat red sores that become raised bumps few days later 
 the bumps turn into fluid filled blisters 
 the 
 they crust over usually the second week smallpox 
 scabs form over the blisters and then fall off usually the third week the disease they can cause permanent scars 
 blindness can happen when blisters form near the 
"
vascular dementia,"problems with short term memory 
 wandering getting lost familiar surroundings 
 laughing crying inappropriate times 
 trouble concentrating planning following through activities 
 trouble managing money 
 inability follow instructions 
 loss 
 hallucinations 
"
sarcoma,"pain off and the affected bone which may worse night 
 swelling which often starts weeks after the pain 
 limp the sarcoma your leg 
"
small lymphocytic lymphoma,"painless swelling the neck 
 loss appetite 
 fatigue 
 night sweats 
 fever 
 weight loss 
"
social anxiety disorder social phobia,"rapid heartbeat 
 muscle tension 
 dizziness 
 blushing 
 crying 
 sweating 
 stomach trouble and diarrhea 
 inability catch breath 
 out body sensation 
"
hip impingement,"ray test that produces images internal structures film rays can show irregularities the shape the ball top the thigh bone excess bone around the rim the socket 
 magnetic resonance imaging mri procedure that uses large magnets radio waves and computer produce detailed pictures tissues inside the body mri can show fraying tears the cartilage including that which runs along the rim the socket labrum 
 scan technique that combines special ray equipment with sophisticated computers produce multiple images pictures the inside the body these images can examined computer printed transferred mri scan can help doctor decide whether you need surgery 
"
sjogren's syndrome,"age 
 sex 
 other autoimmune issues 
 dry throat lips 
 dryness your nose 
 change taste smell 
 swollen glands your neck and face 
 skin rashes and sensitivity light 
 dry cough shortness breath 
 feeling tired 
 trouble concentrating remembering things 
 headache 
 dryness the 
 swelling pain and stiffness your joints 
 muscle pain weakness 
 
 acid reflux when your stomach 
 numbness tingling some parts your body 
 trouble breathing 
"
short bowel syndrome,"blood 
 stool exam 
 rays your chest and belly 
 upper series also called barium ray you drink special liquid that coats your throat 
 scan powerful ray that makes detailed pictures inside your body 
 ultrasound 
 bone density test 
 liver biopsy 
 how are you feeling 
 when did your symptoms begin 
 you have any other medical conditions 
 how are your energy levels 
 are you having any diarrhea 
 you have problems after you eat certain foods 
 what makes your symptoms better what makes them worse 
 for mild cases you may need have several small meals day along with extra fluids vitamins and minerals your doctor will probably also give you medicine for diarrhea 
 treatment the same for moderate cases but from time time you may need extra fluids and minerals through 
 for more serious cases you may get feeding tube instead eating meals you may have tube placed directly into your stomach small intestine your condition improves enough you can stop the tube feedings 
 the most severe cases people need feeding tubes all the time 
 know what eat 
 stay active 
 ask for help 
 learn from others 
"
shaken baby syndrome,"broken ribs other bones 
 spinal cord neck injury 
 bleeding the brain 
"
know saw palmetto bph,"you may need get less often night pee 
 can improve your flow when you 
 can ease 
"
sars,"
 chills 
 muscle aches 
"
sarcoidosis,"tender reddish bumps patches the 
 red and teary 
 swollen and painful joints 
 enlarged and tender lymph glands the neck armpits and groin 
 enlarged lymph glands the chest and around the 
 hoarse voice 
 pain the hands feet other bony areas due the formation cysts abnormal sac like growth bones 
 kidney stone formation 
 enlarged liver 
 development abnormal missed 
 nervous system effects including 
 chest rays 
 hrct scan high resolution provide even more detailed look the lungs and lymph nodes than provided chest ray 
 pulmonary function breathing tests 
 bronchoscopy 
"
salmonella (salmonellosis),"cramps your stomach 
 bloody 
 diarrhea 
 cold 
 fever 
 headache 
 upset stomach 
 throwing 
 bloody poop 
 ongoing high fever 
 dehydration 
"
shigella,"nausea 
 vomiting 
 fever 
 cramping your stomach and abdominal area 
 tenesmus the feeling that you need the bathroom even when there nothing left your intestines 
 your diarrhea severe especially you spot 
 you have fever 
 you have 
"
guide sexually transmitted diseases,"bumps sores 
 swelling redness near the penis vagina 
 skin rash 
 painful 
 lower 
 fever 
 painful urination 
 weight loss 
 aches pains fever and 
 yellowing the skin 
 discharge from the penis vagina 
 bleeding from the vagina other than during monthly period 
 painful sex 
 severe 
 chlamydia 
 hiv 
 hepatitis 
 hepatitis 
 gonorrhea 
 human papillomavirus 
 syphilis 
"
psychosis,"auditory hallucinations hearing voices when one around 
 tactile hallucinations strange sensations feelings you can explain 
 visual hallucinations you see people things that aren there you think the shape things looks wrong 
 olfactory hallucinations you smell odors one else can 
 gustatory hallucinations you taste things when there nothing your mouth 
 outside forces are control your feelings and actions 
 small events comments have huge meaning 
 you have special powers are special mission actually are god 
 suddenly losing your train thought conversation while doing task 
 speaking quickly 
 talking constantly 
 cognitive behavioral therapy cbt 
 supportive psychotherapy 
 cognitive enhancement therapy 
 family psychoeducation and support 
 coordinated specialty care csc 
"
manage treat rosacea,"middle aged and older adults 
 women 
 light skinned people but doctors may overlook people with darker skin because this skin tone can hide discolored skin 
 erythematotelangiectatic rosacea 
 papulopustular rosacea 
 phymatous rosacea 
 ocular rosacea 
 stinging and burning your skin 
 red pus filled bumps that may resemble pimples 
 patches rough dry skin 
 swollen bulb shaped nose 
 larger pores 
 broken blood vessels your eyelids 
 bumps your eyelids 
 problems with your vision 
"
blood thinner,"blurred vision 
 chest pain 
 severe weakness dizziness 
 tingly hands feet face 
 can move 
 swollen red arms calves feet 
"
help epilepsy work,"black out 
 lose control your bowels bladder 
 stare into space 
 fall down suddenly 
 get stiff muscles 
 bite your tongue 
"
restless legs syndrome (rls),"leg massages 
 hot baths 
 heating pads 
 dopaminergic drugs which act the neurotransmitter dopamine your brain the fda has approved pramipexole mirapex ropinirole requip and rotigotine neupro for moderate severe rls 
 the parkinson disease drug carbidopa levodopa sinemet occasionally prescribed 
 benzodiazepines type sedative may help with sleep but they can cause daytime drowsiness 
 narcotic 
 anticonvulsant anti seizure drugs such carbamazepine tegretol gabapentin neurontin gabapentin enacarbil horizant and pregabalin lyrica 
 cut down caffeine 
 you drink alcohol cut back 
 stop smoking least cut back 
 bed and get the same time each day including weekends 
 exercise regularly but moderately heavy 
 apply heat ice soak hot bath 
"
severe hearing loss,"you often feel people are speaking too quietly mumbling 
 how hard hear someone speak loud noisy place 
 how long have you noticed problem 
 you have any other medical conditions 
 have any members your family had hearing loss 
"
know food poisoning,"severe belly pain 
 fever 
 bloody diarrhea dark stools 
 vomiting that prolonged bloody 
 signs dehydration 
"
measles,"runny nose 
 red 
 sore throat 
 tiny white bumps your 
"
rabson-mendenhall syndrome,"head and face 
 nails 
 skin 
 teeth 
 larger organs than normal including the 
 much more 
 slow growth before and after birth 
 swelling the belly 
 very little 
 weak muscles 
 cysts the 
 diabetes 
 kidney 
 biguanides 
 leptin 
 recombinant insulin like growth factor rhigf 
"
rectal prolapse,"feeling bulge outside your anus 
 seeing red mass outside your anal opening 
 pain 
 anal itching 
 constipation 
 not being able control when you poop fecal incontinence 
 bleeding from the rectum 
 leaking blood poop mucus from the anus 
"
rabies,"inability 
 anxiety 
 confusion 
 slight partial paralysis 
 hyperactivity 
 being easily agitated 
 hallucinations 
 salivating more than usual 
 difficulty swallowing 
"
pms,"talk therapy way feel better and learn new skills overcome challenges talking with 
 over the counter otc medicines 
 prescription medications 
"
primary immunodeficiency,"has four more infections year the ears lungs skin eyes mouth private parts 
 needs get antibiotics through for infections 
 gets more than one severe fast moving illness like septicemia 
 has 
 antibiotics don work well 
 gets pneumonia more than once year 
"
treat prevent folliculitis,"groups small bumps like pimples some with whiteheads them 
 blisters 
 large areas swollen skin that may leak pus 
 clean the infected area 
 use salt 
 try gels creams and washes 
 change your habits 
 apply warm compresses 
 try not scratch 
 don squeeze pop cut open bumps 
"
posttraumatic stress disorder (ptsd),"selective serotonin reuptake inhibitors ssris such 
 tricyclic 
 mood stabilizers such 
 atypical antipsychotics such 
 
 
 
 cognitive behavioral therapy 
 prolonged exposure therapy 
 psychodynamic therapy 
 family therapy 
 group therapy 
 eye desensitization and reprocessing emdr 
"
pompe disease,"feeling weak the legs trunk and arms 
 shortness breath hard time exercising and 
 trouble breathing while you sleep 
 big curve your spine 
 enlarged liver 
 enlarged tongue that makes hard chew and swallow 
 stiff joints 
 you feel weak fall often have trouble walking running climbing stairs standing 
 you have hard time breathing especially night when you lie down 
 you get headaches the morning 
 are you often tired during the day 
 when you were child what kinds health problems did you have 
 does did anyone else your family have troubles like these too 
 check sample muscle see how much glycogen there 
 check 
 look for the genetic problem that causes pompe disease 
 cardiologist heart doctor 
 neurologist who treats the 
 respiratory therapist who can help your lungs and breathing 
 nutritionist who can help you eat stay healthy 
"
preeclampsia,"sudden weight gain over days because large increase bodily fluid 
 shoulder pain 
 belly pain especially the upper right side 
 severe headaches 
 change reflexes mental state 
 peeing less not all 
 dizziness 
 trouble breathing 
 severe vomiting and 
 vision changes like flashing lights floaters blurry vision 
 blurry vision 
 chest belly pain 
 headache 
 fatigue 
 upset stomach vomiting 
 swelling your face hands 
 bleeding from your gums nose 
"
relapsed/recurrent multiple myeloma,"bone 
 bone breaks 
 fever 
 fatigue 
 weight loss 
 easy bruising 
 trouble breathing 
 weakness the arms legs 
"
paroxysmal nocturnal hemoglobinuria (pnh),"broken red blood cells 
 too few red blood cells which can cause anemia 
 blood clots your veins 
 feel tired and weak 
 have headaches 
 feel short breath 
 have irregular heartbeat 
 have belly pain 
 have trouble swallowing 
 have pale yellowish skin 
 bruise easily 
 men may have trouble getting keeping erection 
 red painful swollen area 
 sore warm and swollen limb 
 pain 
 ulcers and bleeding 
 bad headache with without vomiting 
 seizures 
 trouble moving talking seeing 
 trouble breathing 
 sharp chest pain 
 coughing blood 
 sweating 
 have you noticed blood your urine 
 what medications you take 
 have you had any signs blood clots 
 have you had any stomach digestive problems 
 have you been tested for aplastic anemia bone marrow disorder 
 folic acid help your bone marrow make more normal blood cells 
 iron supplements make more red blood cells 
 eculizumab 
 ravulizumab 
 pegcetacoplan 
"
anemia diagnosis,"complete blood count 
 blood iron level and your serum 
 levels 
 special blood tests detect rare causes anemia such immune attack your red blood cells red blood cell fragility and defects enzymes hemoglobin and clotting 
 reticulocyte count 
"
pelvic inflammatory disease,"pain your lower belly and pelvis 
 heavy discharge from your vagina with unpleasant odor 
 more bleeding than usual during your period 
 bleeding between periods 
 pain 
 fever and chills 
 pain when you pee hard time going 
 throwing feeling like you going throw 
 you been taking antibiotics and your symptoms aren improving your doctor might ask you take more tests figure out why 
 you need take antibiotics with you not able keep pills down for instance your doctor will want you get antibiotics directly into your body with intravenous fluids 
 you developed what called tubo ovarian 
 you are sick your stomach vomiting running high fever your doctor might not able rule out another abdominal problem such appendicitis 
"
oral cancer,"swellings thickenings lumps bumps rough spots crusts eroded areas the lips gums cheek other areas inside the 
 velvety white red speckled white and red patches the mouth 
 
 unexplained bleeding the mouth 
 unexplained numbness loss feeling pain tenderness any area the face mouth neck 
 persistent sores the face neck mouth that bleed easily and not heal within weeks 
 soreness feeling that something caught the back the throat 
 difficulty chewing swallowing speaking moving the jaw tongue 
 hoarseness chronic 
 ear pain 
 swelling 
 change the way your 
 dramatic weight loss 
"
neuromyelitis optica,"optic neuritis 
 transverse myelitis 
"
obsessive-compulsive disorder (ocd),"psychotherapy 
 relaxation 
 medication 
 neuromodulation 
"
fatty liver,"swollen belly 
 enlarged 
 larger than normal breasts men 
 red palms 
 skin and 
 nausea weight loss loss appetite 
 tiredness mental confusion 
 check your body for signs liver problems such enlarged liver jaundice 
 check your height and weight calculate your body mass index bmi your bmi determines how much you should weigh based your height 
"
surgery fixes perforated nasal septum,"cautery treatment for nosebleeds 
 certain diseases including 
 damage your nose like breaking even from picking too much 
 infections 
 using drugs that into your nose too often ranging from over the counter nasal sprays 
"
heart disease hypertrophic cardiomyopathy,"chest pain 
 shortness breath dyspnea 
 fatigue 
 fainting 
 palpitations fluttering the chest 
 sudden death 
"
opportunistic infections get hiv,"fever for more than days 
 bad diarrhea 
 weight loss 
 change vision 
 problems with your mouth skin breathing 
"
syringomyelia,"curving the 
 changes loss bowel and 
 heavy 
 not being able feel hot and cold the fingers hands arms and upper chest 
 loss reflexes 
 muscle stiffness that may make hard walk 
 muscle weakness especially the arms hands and shoulders 
 feeling numbness tingling burning piercing 
 pain the neck shoulders and sometimes arms and hands 
 paralysis 
 headaches 
 sexual problems 
 swings 
 twitches 
 uncoordinated movements 
"
ticks diseases spread,"brain and nervous system 
 joint pain that doesn away 
 heart 
 problems with memory and thinking clearly 
"
mitral valve regurgitation,"heart palpitations 
 coughing 
 fatigue 
 shortness breath 
 rapid 
 chest pain 
"
period random,"you miss three more periods year 
 you get your period more often than every days 
 you get your period less often than every days 
 you are bleeding more heavily than usual during your period 
 you bleed for more than days 
 you have more 
"
turner syndrome,"growth spurts expected times childhood 
 shorter height than might expected based parents height 
 learning disabilities 
 inability through puberty normally because ovarian failure 
 loss menstrual cycles 
 infertility 
"
metastatic melanoma,"ipilimumab 
 nivolumab 
 interferon 
"
thrombocytopenia (low platelet count),"bleeding 
 blotches and bruises 
 red flat spots your skin 
 fatigue 
 enlarged spleen 
 blood platelet transfusions 
 medicines 
 surgery 
 plasma exchange 
 what happens you have thrombocytopenia 
"
connective tissue disease,"curved spine 
 weak 
 bleeding gums 
 problems with the lungs 
 blue gray tint the whites the eyes 
 thin skin 
 curved spine 
 breathing problems 
 hearing loss 
 teeth 
"
miscarriage,"bleeding that goes from light heavy 
 severe cramps 
 belly 
 weakness 
 worsening severe 
 fever 
 weight loss 
 white pink 
 contractions 
 tissue that looks like 
 fewer 
"
nausea,"gallbladder disease 
 food poisoning 
 infections such 
 ulcers 
 bulimia other psychological illnesses 
 gastroparesis 
 motion sickness seasickness 
 early 
 ingesting something toxic 
 reaction medicines 
 intense pain 
 emotional stress such fear 
 drinking too much alcohol 
 using illicit drugs 
 overeating 
 reactions certain smells odors 
 
 food poisoning 
 milk allergy 
 motion sickness 
 overeating over feeding 
 coughing 
 other illnesses that give the child 
 aura visual sensory symptoms like hallucinations numbness muscle weakness 
 sensitivity light 
 change mood behavior 
 dry lips and mouth 
 sunken 
 rapid breathing pulse 
"
morning sickness,"nausea with without vomiting during the 
 nausea that comes the morning but can resurface any time all day 
 feeling sick from smelling certain foods and other odors 
 nausea after eating especially spicy foods 
 nausea vomiting brought heat and severe salivation 
"
pseudomyxoma peritonei,"belly 
 changes your bowel habits 
 enlarged ovary women 
 hernia 
 poor appetite 
 swollen belly 
 weight gain bigger waist size 
"
mesothelioma,"weight loss 
 swelling and pain the abdomen 
 blood clotting abnormalities 
 bowel obstruction 
 anemia 
 fever 
"
amyotrophic lateral sclerosis (als),"muscle twitching the arm leg shoulder tongue 
 muscle cramps especially your hands and feet 
 muscle tightness stiffness 
 weakness your hands arm leg only one side the body 
 trouble speaking loudly 
 slurred speech 
 problems chewing swallowing 
 trip fall more often 
 drop things lot 
 lose weight 
 drool choke liquid 
 feel tired all the time 
 have trouble controlling facial expressions 
 laugh cry without meaning 
 friends and family 
 others with als 
 psychologists psychiatrists 
 social workers 
 spiritual and grief counselors 
"
low blood pressure (hypotension),"postural hypotension 
 neurally mediated hypotension 
 postprandial hypotension 
 multiple system atrophy with orthostatic hypotension 
"
listeria,"headache 
 stiff neck 
 confusion 
 loss balance 
 convulsions 
 headache 
 fever 
 achy muscles 
 back pain 
"
hypokalemia,"weakness 
 fatigue 
 muscle cramps 
 constipation 
 arrhythmia 
"
lissencephaly,"difficulty swallowing 
 muscle spasms 
 severe mental and physical challenges 
"
bipolar disorder,"feeling very excited joyful like you high 
 feeling very touchy cranky 
 acting rude hostile toward others 
 having very fast racing thoughts 
 feeling extra talented special powerful important grandiose beliefs 
 feeling like you can harmed 
 increased sex drive 
 talking faster and louder than usual 
 feeling jumpy 
 feeling more energetic active than usual 
 acting impulse like spending way more money than usual 
 increase risk taking for instance overusing drugs alcohol putting yourself harm way 
 feeling like you need less sleep due your high energy 
 feeling very happy excited 
 feeling more productive than usual 
 getting easily distracted 
 getting obsessed with interest activity 
 finding hard sit still for instance pacing fidgeting 
 having higher self esteem than usual 
 talking more faster than usual others may have hard time getting word 
 having lots thoughts once 
 acting impulse and doing things you may regret later 
 not sleeping lot but still feeling rested 
 you begin feeling depressed call your doctor explain the symptoms you having and ask they can see you soon possible 
 you have thoughts hurting yourself call text 988 reach the 988 suicide crisis lifeline free and open hours day days week 
 you feel that you someone else immediate danger call 911 get emergency room soon you can 
 mood stabilizers 
 antidepressants 
 anticonvulsants 
 antipsychotics 
 cognitive behavioral therapy cbt 
 interpersonal and social rhythm therapy 
 psychoeducation 
 family therapy 
 know the early signs mood episode 
 find ways deal with stress 
 get moving 
 keep routine 
 avoid drugs and alcohol 
 find support system 
 stick with treatment even when you feel good 
"
oral lichen planus,"topical ointment gel 
 systemic medications 
"
paget's disease breast,"tingling 
 itching 
 more sensitivity 
 burning 
 pain 
 bloody yellowish discharge from your nipple 
 oozing bleeding areas 
 nipple that looks flattened against your breast 
 thickened skin the nipple area 
 lump mass your breast 
"
management back pain,"cervical vertebrae 
 thoracic vertebrae 
 lumbar vertebrae 
 the 
"
lazy eye (amblyopia),"trouble telling how near far away something depth perception 
 squinting shutting one eye 
 head tilting 
"
liposarcoma,"new growing lump beneath your skin especially around behind your knees your thighs 
 pain swelling 
 weakness arm leg that has the lump 
 feeling full soon after you start eating 
 constipation 
 poop that has blood looks black tarry 
 cramping 
 bloody vomit 
 your belly gets larger 
 scan mri which help your doctor see the size and scope tumor 
 biopsy which involves removing small piece your tumor test for cancer cells 
"
psoriasis,"oregon grape topical creams 
 humidity 
 capsaicin topical creams 
 omega fatty acids 
 aloe vera 
 oat baths 
 anxiety 
 depression 
 sexual dysfunction 
 substance use disorders 
 sleep disorders 
 eating disorders 
 psychosis 
"
nystagmus,"ear exam 
 neurological exam 
 brain 
 brain 
 recording your eye movement 
"
tardive dyskinesia,"lower the dose 
 add another medication counteract the movements 
 switch you different drug 
 cerebral palsy 
 huntington disease 
 parkinson disease 
 stroke 
 tourette syndrome 
 blood 
 imaging scans the brain such mri scan 
"
asthma common triggers explained,"eggs 
 cow milk 
 peanuts 
 tree nuts 
 soy 
 wheat 
 fish 
 shrimp and other shellfish 
 salads 
 fresh fruits 
 aspirin 
 beta blockers 
 ace inhibitors 
"
labyrinthitis,"blurry 
 feeling unbalanced like you about fall 
 feeling lightheaded like you floating 
 nausea and vomiting 
 ringing your ears 
"
lam lung disease (lymphangioleiomyomatosis),"chylous ascites the flow lymph blocked errant muscle cells chyle milky lymph fluid builds the belly 
 angiomyolipomas noncancerous tumors may grow the 
"
torticollis,"your child head tilts one side with their chin pointed the opposite 
 their head doesn turn side side and down easily 
 you feel soft lump your baby neck muscle this isn dangerous and usually goes away within months 
 your baby prefers look over the shoulder you their 
 your baby has trouble 
 your baby works hard turn toward you struggles turn their head all the way and becomes upset because the movement hard 
 they might start getting flat head one both sides from lying one position all the time this called positional plagiocephaly 
 one your baby shoulders higher than the other 
 your baby has muscle tightness stiffness 
 your baby has swollen neck muscles 
 you notice that your baby has uneven facial features for example one eye might appear lower than the other 
"
interstitial cystitis,"retrain your bladder hold more urine for example you feel the need pee every minutes try stretch out minutes 
 cut down stress can trigger taking minutes day something for yourself can start stretch read book relaxation techniques talking friend meditation may help 
 wear loose clothing tight clothes can put pressure your bladder 
 low impact 
 change what you eat and drink avoid triggers see below for examples possible trigger foods and drinks 
 you smoke quit 
 citrus fruits like oranges and lemons 
 tomatoes 
 chocolate 
 caffeinated drinks like coffee and sodas 
 carbonated drinks 
 alcohol 
 spicy foods 
 artificial sweeteners 
 neurostimulation 
 onabotulinumtoxina 
"
hunter syndrome (mps ii),"joint problems that make hard move 
 numbness weakness and tingling their hands 
 lot 
 breathing problems 
 hearing loss 
 trouble walking and weak muscles 
 bowel problems such 
 heart 
 enlarged 
 bone thickening 
 trouble thinking and learning the time they are years old 
 trouble talking 
 behavior problems such hard time sitting still aggression 
 high levels that certain sugar their urine 
 how active the missing protein their 
 the abnormal gene 
"
neutropenia,"sore throat 
 swollen lymph nodes 
 ulcers 
 burning sensation with pee urgent and frequent need pee 
 diarrhea 
 swollen areas filled with pus abscesses 
 pain swelling and rash where the infection 
 long lasting wounds 
 fatigue 
 neutrophil count goes down 
 duration severe neutropenia gets longer 
"
alcohol use disorder,"shaking tremors 
 seeing feeling things that aren really there 
 seizures 
"
remove tick,"chills 
 fever 
 headache 
 muscle aches 
 rash 
"
horner syndrome,"sweat one side your face 
 droopy upper eyelid 
 lower eyelid that slightly raised inverse ptosis 
 small pupil the black circle the middle your eye miosis 
 pupils that are different sizes anisocoria 
 pupil that doesn open dilate widely slow open dim light 
 sunken bloodshot 
"
progeria,"slow height and weight growth 
 bigger head 
 large 
 small lower jaw 
 thin nose with beaked tip 
 ears that stick out 
 veins you can see 
 slow and abnormal 
 high pitched voice 
 loss body fat and muscle 
 hair loss 
 thin wrinkled skin that shows spots 
"
asthma peak flow meter,"twice day for two three weeks when asthma good control 
 the same time the morning and the early evening 
 instructed your doctor asthma care provider 
"
homocystinuria,"pale 
 abnormally shaped chest 
 slow 
 severe 
 tall slender build 
 long skinny fingers 
 weak bones 
 blood clots 
 seizures 
 developmental delays 
 learning disabilities 
 behavior and emotional problems 
"
hospice care,"chaplain and spiritual services for you and your loved ones 
 social work and counseling 
 medicine ease pain 
 medical equipment and supplies 
 advice eating 
 physical and speech therapy 
 counseling for your loved ones 
"
