SicknessName,Symtoms
Mouth cancer,"A lip or mouth sore that doesn't heal
A white or reddish patch on the inside of your mouth
Loose teeth
A growth or lump inside your mouth
Mouth pain
Ear pain
Difficult or painful swallowing
Tobacco use of any kind, including cigarettes, cigars, pipes, chewing tobacco and snuff, among others
Heavy alcohol use
Excessive sun exposure to your lips
A sexually transmitted virus called human papillomavirus (HPV)
A weakened immune system
 If you use tobacco, stop. If you don't use tobacco, don't start. Using tobacco, whether smoked or chewed, exposes the cells in your mouth to dangerous cancer-causing chemicals.
 Chronic excessive alcohol use can irritate the cells in your mouth, making them vulnerable to mouth cancer. If you choose to drink alcohol, do so in moderation. For healthy adults, that means up to one drink a day for women of all ages and men older than age 65, and up to two drinks a day for men age 65 and younger.
 Protect the skin on your lips from the sun by staying in the shade when possible. Wear a broad-brimmed hat that effectively shades your entire face, including your mouth. Apply a sunscreen lip product as part of your routine sun protection regimen.
 As part of a routine dental exam, ask your dentist to inspect your entire mouth for abnormal areas that may indicate mouth cancer or precancerous changes.
"
Liver cancer,"Losing weight without trying
Loss of appetite
Upper abdominal pain
Nausea and vomiting
General weakness and fatigue
Abdominal swelling
Yellow discoloration of your skin and the whites of your eyes (jaundice)
White, chalky stools
 Chronic infection with the hepatitis B virus (HBV) or hepatitis C virus (HCV) increases your risk of liver cancer.
 This progressive and irreversible condition causes scar tissue to form in your liver and increases your chances of developing liver cancer.
 Liver diseases that can increase the risk of liver cancer include hemochromatosis and Wilson's disease.
 People with this blood sugar disorder have a greater risk of liver cancer than those who don't have diabetes.
 An accumulation of fat in the liver increases the risk of liver cancer.
 Aflatoxins are poisons produced by molds that grow on crops that are stored poorly. Crops, such as grains and nuts, can become contaminated with aflatoxins, which can end up in foods made of these products.
 Consuming more than a moderate amount of alcohol daily over many years can lead to irreversible liver damage and increase your risk of liver cancer.
 If you choose to drink alcohol, limit the amount you drink. For women, this means no more than one drink a day. For men, this means no more than two drinks a day.
 If your current weight is healthy, work to maintain it by choosing a healthy diet and exercising most days of the week. If you need to lose weight, reduce the number of calories you eat each day and increase the amount of exercise you do. Aim to lose weight slowly — 1 or 2 pounds (0.5 to 1 kilograms) each week.
 Don't engage in unprotected sex unless you're certain your partner isn't infected with 
, 
 or any other sexually transmitted infection. If you don't know the health status of your partner, use a condom every time you have sexual intercourse.
 Reduce your risk of 
 by not injecting illegal drugs. But if that isn't an option for you, make sure any needle you use is sterile, and don't share it. Contaminated drug paraphernalia is a common cause of hepatitis C infection. Take advantage of needle-exchange programs in your community and consider seeking help for your drug use.
 Needles that may not be properly sterilized can spread the hepatitis C virus. Before getting a piercing or tattoo, check out the shops in your area and ask staff members about their safety practices. If employees at a shop refuse to answer your questions or don't take your questions seriously, take that as a sign that the facility isn't right for you.
Hepatitis B infection
Hepatitis C infection
Liver cirrhosis
"
Leukemia,"Fever or chills
Persistent fatigue, weakness
Frequent or severe infections
Losing weight without trying
Swollen lymph nodes, enlarged liver or spleen
Easy bleeding or bruising
Recurrent nosebleeds
Tiny red spots in your skin (petechiae)
Excessive sweating, especially at night
Bone pain or tenderness
 In acute leukemia, the abnormal blood cells are immature blood cells (blasts). They can't carry out their normal functions, and they multiply rapidly, so the disease worsens quickly. Acute leukemia requires aggressive, timely treatment.
 There are many types of chronic leukemias. Some produce too many cells and some cause too few cells to be produced. Chronic leukemia involves more-mature blood cells. These blood cells replicate or accumulate more slowly and can function normally for a period of time. Some forms of chronic leukemia initially produce no early symptoms and can go unnoticed or undiagnosed for years.
 This type of leukemia affects the lymphoid cells (lymphocytes), which form lymphoid or lymphatic tissue. Lymphatic tissue makes up your immune system.
 This type of leukemia affects the myeloid cells. Myeloid cells give rise to red blood cells, white blood cells and platelet-producing cells.
 This is the most common type of leukemia in young children. 
 can also occur in adults.
 
 is a common type of leukemia. It occurs in children and adults. 
 is the most common type of acute leukemia in adults.
 With 
, the most common chronic adult leukemia, you may feel well for years without needing treatment.
 This type of leukemia mainly affects adults. A person with 
 may have few or no symptoms for months or years before entering a phase in which the leukemia cells grow more quickly.
 Other, rarer types of leukemia exist, including hairy cell leukemia, myelodysplastic syndromes and myeloproliferative disorders.
 People who've had certain types of chemotherapy and radiation therapy for other cancers have an increased risk of developing certain types of leukemia.
 Genetic abnormalities seem to play a role in the development of leukemia. Certain genetic disorders, such as Down syndrome, are associated with an increased risk of leukemia.
 Exposure to certain chemicals, such as benzene — which is found in gasoline and is used by the chemical industry — is linked to an increased risk of some kinds of leukemia.
 Smoking cigarettes increases the risk of acute myelogenous leukemia.
 If members of your family have been diagnosed with leukemia, your risk of the disease may be increased.
"
Thyroid cancer,"A lump (nodule) that can be felt through the skin on your neck
A feeling that close-fitting shirt collars are becoming too tight
Changes to your voice, including increasing hoarseness
Difficulty swallowing
Swollen lymph nodes in your neck
Pain in your neck and throat
 This broad category includes types of thyroid cancer that start in the cells that produce and store thyroid hormones. These cells are called follicular cells. Differentiated thyroid cancers cells appear similar to healthy cells when viewed under a microscope.
    

    
 This rare type of thyroid cancer grows quickly and can be difficult to treat. However, treatments can help slow the progression of the disease. Anaplastic thyroid cancer tends to occur in people older than 60. It can cause severe signs and symptoms, such as neck swelling that worsens very quickly and may lead to difficulty breathing and swallowing.
 This rare type of thyroid cancer begins in thyroid cells called C cells, which produce the hormone calcitonin. Elevated levels of calcitonin in the blood can indicate medullary thyroid cancer at a very early stage. Some medullary thyroid cancers are caused by a gene called 
 that's passed from parents to children. Changes in the 
 gene can cause familial medullary thyroid cancer and multiple endocrine neoplasia, type 2. Familial medullary thyroid cancer increases the risk of thyroid cancer. Multiple endocrine neoplasia, type 2, increases the risk of thyroid cancer, adrenal gland cancer and other types of cancers.
 Other very rare types of cancer can start in the thyroid. These include thyroid lymphoma, which begins in the immune system cells of the thyroid, and thyroid sarcoma, which begins in the connective tissue cells of the thyroid.
 Thyroid cancer occurs more often in women than in men. Experts think it may be related to the hormone estrogen. People who are assigned female sex at birth generally have higher levels of estrogen in their bodies.
 Radiation therapy treatments to the head and neck increase the risk of thyroid cancer.
 Genetic syndromes that increase the risk of thyroid cancer include familial medullary thyroid cancer, multiple endocrine neoplasia, Cowden syndrome and familial adenomatous polyposis. Types of thyroid cancer that sometimes run in families include medullary thyroid cancer and papillary thyroid cancer.
Lymph nodes in the neck
Small pieces of thyroid tissue left behind during surgery
Other areas of the body, such as the lungs and bones
Neck pain
A lump in the neck
Trouble swallowing
Voice changes, such as hoarseness
Lymph nodes in the neck
Lungs
Bones
Brain
Liver
Skin
"
Hodgkin's lymphoma (Hodgkin's disease),"Painless swelling of lymph nodes in your neck, armpits or groin
Persistent fatigue
Fever
Night sweats
Losing weight without trying
Severe itching
Pain in your lymph nodes after drinking alcohol
Nodular sclerosis Hodgkin's lymphoma
Mixed cellularity Hodgkin's lymphoma
Lymphocyte-depleted Hodgkin's lymphoma
Lymphocyte-rich Hodgkin's lymphoma
 Hodgkin's lymphoma is most often diagnosed in people in their 20s and 30s and those over age 55.
 Having a blood relative with Hodgkin's lymphoma increases your risk of developing Hodgkin's lymphoma.
 People who are assigned male at birth are slightly more likely to develop Hodgkin's lymphoma than are those who are assigned female.
 People who have had illnesses caused by the Epstein-Barr virus, such as infectious mononucleosis, are more likely to develop Hodgkin's lymphoma than are people who haven't had Epstein-Barr infections.
 People who are infected with 
 have an increased risk of Hodgkin's lymphoma.
"
Hairy cell leukemia,"A feeling of fullness in your belly that may make it uncomfortable to eat more than a little at a time
Fatigue
Easy bruising
Recurring infections
Weakness
Losing weight without trying
 Hairy cell leukemia can happen at any age. But most people diagnosed with hairy cell leukemia are in their 50s or 60s. It's rare in children.
 Hairy cell leukemia can happen to anyone. But it's more likely in males.
 Your body needs healthy white blood cells to fight off germs. If your body can't make enough healthy white blood cells, you might get more infections.
 Your body needs healthy platelet cells to control bleeding. If the number of platelets in your blood is low, you might notice that you bruise more easily. You might also have bleeding from the nose or gums.
 Your body needs healthy red blood cells to carry oxygen through your body. Having too few red blood cells is called anemia. Anemia can make you feel very tired.
"
Stomach cancer,"Trouble swallowing
Belly pain
Feeling bloated after eating
Feeling full after eating small amounts of food
Not feeling hungry when you would expect to be hungry
Heartburn
Indigestion
Nausea
Vomiting
Losing weight without trying
Feeling very tired
Stools that look black
 Adenocarcinoma stomach cancer starts in cells that produce mucus. This is the most common type of stomach cancer. Nearly all cancers that start in the stomach are adenocarcinoma stomach cancers.
 
 starts in special nerve cells that are found in the wall of the stomach and other digestive organs. 
 is a type of soft tissue sarcoma.
 Carcinoid tumors are cancers that start in the neuroendocrine cells. Neuroendocrine cells are found in many places in the body. They do some nerve cell functions and some of the work of cells that make hormones. Carcinoid tumors are a type of neuroendocrine tumor.
 Lymphoma is a cancer that starts in immune system cells. The body's immune system fights germs. Lymphoma can sometimes start in the stomach if the body sends immune system cells to the stomach. This might happen if the body is trying to fight off an infection. Most lymphomas that start in the stomach are a type of non-Hodgkin's lymphoma.
Ongoing problems with stomach acid backing up into the esophagus, which is called gastroesophageal reflux disease
A diet high in salty and smoked foods
A diet low in fruits and vegetables
Infection in the stomach caused by a germ called Helicobacter pylori
Swelling and irritation of the inside of the stomach, which is called gastritis
Smoking
Growths of noncancerous cells in the stomach, called polyps
Family history of stomach cancer
Family history of genetic syndromes that increase the risk of stomach cancer and other cancers, such as hereditary diffuse gastric cancer, Lynch syndrome, juvenile polyposis syndrome, Peutz-Jeghers syndrome and familial adenomatous polyposis
 Try to include fruits and vegetables in your diet each day. Choose a variety of colorful fruits and vegetables.
 Protect your stomach by limiting these foods.
 If you smoke, quit. If you don't smoke, don't start. Smoking increases your risk of stomach cancer and many other types of cancer. Quitting smoking can be very hard, so ask your health care provider for help.
 People with a strong family history of stomach cancer might have stomach cancer screening. Screening tests can detect stomach cancer before it causes symptoms.
"
Gallbladder cancer,"Abdominal pain, particularly in the upper right portion of the abdomen
Abdominal bloating
Losing weight without trying
Yellowing of the skin and whites of the eyes (jaundice)
 Gallbladder cancer is more common in women.
 Your risk of gallbladder cancer increases as you age.
 Gallbladder cancer is most common in people who have gallstones or have had gallstones in the past. Larger gallstones may carry a larger risk. Still, gallstones are very common and even in people with this condition, gallbladder cancer is very rare.
 Other gallbladder conditions that can increase the risk of gallbladder cancer include polyps, chronic inflammation and infection.
 Primary sclerosing cholangitis, which causes inflammation of the ducts that drain bile from the gallbladder and liver, increases the risk of gallbladder cancer.
"
Esophageal cancer,"Difficulty swallowing (dysphagia)
Weight loss without trying
Chest pain, pressure or burning
Worsening indigestion or heartburn
Coughing or hoarseness
 Adenocarcinoma begins in the cells of mucus-secreting glands in the esophagus. Adenocarcinoma occurs most often in the lower portion of the esophagus. Adenocarcinoma is the most common form of esophageal cancer in the United States, and it affects primarily white men.
 The squamous cells are flat, thin cells that line the surface of the esophagus. Squamous cell carcinoma occurs most often in the upper and middle portions of the esophagus. Squamous cell carcinoma is the most prevalent esophageal cancer worldwide.
 Some rare forms of esophageal cancer include small cell carcinoma, sarcoma, lymphoma, melanoma and choriocarcinoma.
Having gastroesophageal reflux disease (GERD)
Smoking
Having precancerous changes in the cells of the esophagus (Barrett's esophagus)
Being obese
Drinking alcohol
Having bile reflux
Having difficulty swallowing because of an esophageal sphincter that won't relax (achalasia)
Having a steady habit of drinking very hot liquids
Not eating enough fruits and vegetables
Undergoing radiation treatment to the chest or upper abdomen
 Cancer may make it difficult for food and liquid to pass through your esophagus.
 Advanced esophageal cancer can cause pain.
 Esophageal cancer can cause bleeding. Though bleeding is usually gradual, it can be sudden and severe at times.
 If you smoke, talk to your doctor about strategies for quitting. Medications and counseling are available to help you quit. If you don't use tobacco, don't start.
 If you choose to drink alcohol, do so in moderation. For healthy adults, that means up to one drink a day for women and up to two drinks a day for men.
 Add a variety of colorful fruits and vegetables to your diet.
 If you are overweight or obese, talk to your doctor about strategies to help you lose weight. Aim for a slow and steady weight loss of 1 or 2 pounds a week.
"
Colon cancer,"A change in bowel habits, such as more frequent diarrhea or constipation.
Rectal bleeding or blood in the stool.
Ongoing discomfort in the belly area, such as cramps, gas or pain.
A feeling that the bowel doesn't empty all the way during a bowel movement.
Weakness or tiredness.
Losing weight without trying.
 Colon cancer can happen at any age. But most people with colon cancer are older than 50. The numbers of people younger than 50 who have colon cancer has been growing. Doctors don't know why.
 Black people in the United States have a greater risk of colon cancer than do people of other races.
 Having had colon cancer or colon polyps increases the risk of colon cancer.
 Conditions that cause pain and swelling of the intestines, called inflammatory bowel diseases, can increase the risk of colon cancer. These conditions include ulcerative colitis and Crohn's disease.
 Some DNA changes that increase the risk of colon cancer run in families. The most common inherited syndromes that increase colon cancer risk are familial adenomatous polyposis and Lynch syndrome.
 Having a blood relative who has colon cancer increases the risk of getting colon cancer. Having more than one family member who has colon cancer or rectal cancer increases the risk more.
 Colon cancer and rectal cancer might be linked with a typical Western diet. This type of diet tends to be low in fiber and high in fat and calories. Research in this area has had mixed results. Some studies have found an increased risk of colon cancer in people who eat a lot of red meat and processed meat.
 People who are not active are more likely to develop colon cancer. Getting regular physical activity might help lower the risk.
 People with diabetes or insulin resistance have an increased risk of colon cancer.
 People who are obese have an increased risk of colon cancer. Obesity also increases the risk of dying of colon cancer.
 People who smoke can have an increased risk of colon cancer.
 Drinking too much alcohol can increase the risk of colon cancer.
 Radiation therapy directed at the abdomen to treat previous cancers increases the risk of colon cancer.
 Fruits, vegetables and whole grains have vitamins, minerals, fiber and antioxidants, which may help prevent cancer. Choose a variety of fruits and vegetables so that you get a range of vitamins and nutrients.
 If you choose to drink alcohol, limit the amount you drink to no more than one drink a day for women and two for men.
 Talk to your health care team about ways to quit.
 Try to get at least 30 minutes of exercise on most days. If you've been inactive, start slowly and build up gradually to 30 minutes. Also, talk with a health care professional before starting an exercise program.
 If you are at a healthy weight, work to maintain your weight by combining a healthy diet with daily exercise. If you need to lose weight, ask your health care team about healthy ways to achieve your goal. Aim to lose weight slowly by eating fewer calories and moving more.
"
Chronic myelogenous leukemia,"Bone pain.
Bleeding easily.
Feeling full after eating a small amount of food.
Fatigue.
Fever.
Weight loss without trying.
Loss of appetite.
Pain or fullness below the ribs on the left side.
Excessive sweating during sleep.
Blurry vision caused by bleeding in the back of the eye.
. 
 is more common in older people than in children and teens.
. Men are slightly more at risk of developing 
 than are women.
. Radiation therapy for certain types of cancer has been linked to 
.
"
Cavernous malformations,"Seizures
Severe headaches
Weakness in the arms or legs
Numbness
Difficulty speaking
Problems with memory and attention
Problems with balance and walking
Vision changes, such as double vision
 evidence of multiple 
 without a 
A family history of 
KRIT1, also called CCM1
CCM2
PDCD10, also called CCM3
"
Chronic lymphocytic leukemia,"Enlarged, but painless, lymph nodes
Fatigue
Fever
Pain in the upper left portion of the abdomen, which may be caused by an enlarged spleen
Night sweats
Weight loss
Frequent infections
 This disease occurs most often in older adults.
 White people are more likely to develop chronic lymphocytic leukemia than are people of other races.
 A family history of chronic lymphocytic leukemia or other blood and bone marrow cancers may increase your risk.
 Certain herbicides and insecticides, including Agent Orange used during the Vietnam War, have been linked to an increased risk of chronic lymphocytic leukemia.
 Monoclonal B-cell lymphocytosis (MBL) causes an increased number of one type of lymphocyte (B cells) in the blood. For a small number of people with 
, the condition may develop into chronic lymphocytic leukemia. If you have 
 and also have a family history of chronic lymphocytic leukemia, you may have a higher risk of developing cancer.
 If you have chronic lymphocytic leukemia, you may experience frequent infections that can be serious. Sometimes infections happen because your blood doesn't have enough germ-fighting antibodies (immunoglobulins). Your doctor might recommend regular immunoglobulin infusions.
 A small number of people with chronic lymphocytic leukemia may develop a more aggressive form of cancer called diffuse large B-cell lymphoma. Doctors sometimes refer to this as Richter's syndrome.
 People with chronic lymphocytic leukemia have an increased risk of other types of cancer, including skin cancer and cancers of the lung and the digestive tract.
 A small number of people with chronic lymphocytic leukemia may develop an immune system problem that causes the disease-fighting cells of the immune system to mistakenly attack the red blood cells (autoimmune hemolytic anemia) or the platelets (autoimmune thrombocytopenia).
"
Cervical cancer,"Vaginal bleeding after intercourse, between periods or after menopause.
Menstrual bleeding that is heavier and lasts longer than usual.
Watery, bloody vaginal discharge that may be heavy and have a foul odor.
Pelvic pain or pain during intercourse.
 This type of cervical cancer begins in thin, flat cells, called squamous cells. The squamous cells line the outer part of the cervix. Most cervical cancers are squamous cell carcinomas.
 This type of cervical cancer begins in the column-shaped gland cells that line the cervical canal.
 Smoking increases the risk of cervical cancer. When 
 infections happen in people who smoke, the infections tend to last longer and are less likely to go away. 
 causes most cervical cancers.
 The greater your number of sexual partners, and the greater your partner's number of sexual partners, the greater your chance of getting 
.
 Having sex at an early age increases your risk of 
.
 Having other sexually transmitted infections, also called 
s, increases the risk of 
, which can lead to cervical cancer. Other 
s that increase the risk include herpes, chlamydia, gonorrhea, syphilis and 
/
.
 You may be more likely to develop cervical cancer if your immune system is weakened by another health condition and you have 
.
 If your parent took a medicine called diethylstilbestrol, also known as DES, while pregnant, your risk of cervical cancer might be increased. This medicine was used in the 1950s to prevent miscarriage. It's linked to a type of cervical cancer called clear cell adenocarcinoma.
 Receiving a vaccination to prevent 
 infection may reduce your risk of cervical cancer and other 
-related cancers. Ask your health care team if an 
 vaccine is right for you.
 Pap tests can detect precancerous conditions of the cervix. These conditions can be monitored or treated in order to prevent cervical cancer. Most medical organizations suggest beginning routine Pap tests at age 21 and repeating them every few years.
 Reduce your risk of cervical cancer by taking measures to prevent sexually transmitted infections. This may include using a condom every time you have sex and limiting the number of sexual partners you have.
 If you don't smoke, don't start. If you do smoke, talk to a health care professional about ways to help you quit.
"
Cancer,"Fatigue
Lump or area of thickening that can be felt under the skin
Weight changes, including unintended loss or gain
Skin changes, such as yellowing, darkening or redness of the skin, sores that won't heal, or changes to existing moles
Changes in bowel or bladder habits
Persistent cough or trouble breathing
Difficulty swallowing
Hoarseness
Persistent indigestion or discomfort after eating
Persistent, unexplained muscle or joint pain
Persistent, unexplained fevers or night sweats
Unexplained bleeding or bruising
 A gene mutation can tell a cell to grow and divide more rapidly. This creates many new cells that all have that same mutation.
 Normal cells know when to stop growing so that you have just the right number of each type of cell. Cancer cells lose the controls (tumor suppressor genes) that tell them when to stop growing. A mutation in a tumor suppressor gene allows cancer cells to continue growing and accumulating.
 DNA repair genes look for errors in a cell's DNA and make corrections. A mutation in a DNA repair gene may mean that other errors aren't corrected, leading cells to become cancerous.
 You may be born with a genetic mutation that you inherited from your parents. This type of mutation accounts for a small percentage of cancers.
 Most gene mutations occur after you're born and aren't inherited. A number of forces can cause gene mutations, such as smoking, radiation, viruses, cancer-causing chemicals (carcinogens), obesity, hormones, chronic inflammation and a lack of exercise.
 Pain can be caused by cancer or by cancer treatment, though not all cancer is painful. Medications and other approaches can effectively treat cancer-related pain.
 Fatigue in people with cancer has many causes, but it can often be managed. Fatigue associated with chemotherapy or radiation therapy treatments is common, but it's usually temporary.
 Cancer or cancer treatment may cause a feeling of being short of breath. Treatments may bring relief.
 Certain cancers and cancer treatments can cause nausea. Your doctor can sometimes predict if your treatment is likely to cause nausea. Medications and other treatments may help you prevent or decrease nausea.
 Cancer and cancer treatment can affect your bowels and cause diarrhea or constipation.
 Cancer and cancer treatment may cause weight loss. Cancer steals food from normal cells and deprives them of nutrients. This is often not affected by how many calories or what kind of food is eaten; it's difficult to treat. In most cases, using artificial nutrition through tubes into the stomach or vein does not help change the weight loss.
 Cancer can upset the normal chemical balance in your body and increase your risk of serious complications. Signs and symptoms of chemical imbalances might include excessive thirst, frequent urination, constipation and confusion.
 Cancer can press on nearby nerves and cause pain and loss of function of one part of your body. Cancer that involves the brain can cause headaches and stroke-like signs and symptoms, such as weakness on one side of your body.
 In some cases the body's immune system may react to the presence of cancer by attacking healthy cells. Called paraneoplastic syndromes, these very rare reactions can lead to a variety of signs and symptoms, such as difficulty walking and seizures.
 As cancer advances, it may spread (metastasize) to other parts of the body. Where cancer spreads depends on the type of cancer.
 Cancer survivors have a risk of cancer recurrence. Some cancers are more likely to recur than others. Ask your doctor about what you can do to reduce your risk of cancer recurrence. Your doctor may devise a follow-up care plan for you after treatment. This plan may include periodic scans and exams in the months and years after your treatment, to look for cancer recurrence.
 If you smoke, quit. If you don't smoke, don't start. Smoking is linked to several types of cancer — not just lung cancer. Stopping now will reduce your risk of cancer in the future.
 Harmful ultraviolet (UV) rays from the sun can increase your risk of skin cancer. Limit your sun exposure by staying in the shade, wearing protective clothing or applying sunscreen.
 Choose a diet rich in fruits and vegetables. Select whole grains and lean proteins. Limit your intake of processed meats.
 Regular exercise is linked to a lower risk of cancer. Aim for at least 30 minutes of exercise most days of the week. If you haven't been exercising regularly, start out slowly and work your way up to 30 minutes or longer.
 Being overweight or obese may increase your risk of cancer. Work to achieve and maintain a healthy weight through a combination of a healthy diet and regular exercise.
 If you choose to drink alcohol, do so in moderation. For healthy adults, that means up to one drink a day for women and up to two drinks a day for men.
 Talk to your doctor about what types of cancer screening exams are best for you based on your risk factors.
 Certain viruses increase your risk of cancer. Immunizations may help prevent those viruses, including hepatitis B, which increases the risk of liver cancer, and human papillomavirus (HPV), which increases the risk of cervical cancer and other cancers. Ask your doctor whether immunization against these viruses is appropriate for you.
"
Corns and calluses,"A thick, rough area of skin
A hardened, raised bump
Tenderness or pain under the skin
Flaky, dry or waxy skin
 are smaller and deeper than calluses and have a hard center surrounded by swollen skin. They can be painful when pressed. Hard corns often form on the top of the toes or the outer edge of the small toe. Soft corns tend to form between the toes.
 are rarely painful and tend to develop on pressure spots, such as the heels, the balls of the feet, the palms and the knees. They may vary in size and shape and are often larger than corns.
 Tight shoes and high heels can squeeze areas of the feet. If your shoes are loose, your foot may repeatedly slide and rub against the shoe. Your foot may also rub against a seam or stitch inside the shoe. Socks that don't fit right can also be a problem. 
 Wearing shoes and sandals without socks can cause friction on your feet.
 Calluses on the hands may result from the repeated pressure of activities such as playing instruments and using hand tools or even a pen.
 The type of corn that forms on non-weight-bearing areas, such as the soles and palms (keratosis punctata), might be caused by genetics.
 If you can't wiggle your toes, your shoes are too tight. Have a shoe shop stretch your shoes at any point that rubs or pinches. Shop for shoes when your feet are most swollen, usually at the end of the day. If you use orthotics and inserts, be sure to have them on while fitting your shoes at the store.
 Wear felt pads, nonmedicated corn pads or bandages over areas that rub against your footwear. You can also try toe separators or some lamb's wool between your toes.
 Or try padding your tool handles with cloth tape or covers.
"
Paraneoplastic syndromes of the nervous system,"Difficulty walking
Difficulty maintaining balance
Loss of muscle coordination
Loss of muscle tone or weakness
Loss of fine motor skills, such as picking up objects
Difficulty swallowing
Slurred speech or stuttering
Memory loss and other thinking (cognitive) impairment
Vision problems
Sleep disturbances
Seizures
Hallucinations
Unusual involuntary movements
 This is the loss of nerve cells in the area of the brain that controls muscle functions and balance (cerebellum). Signs and symptoms may include unsteady or impaired walking, lack of muscle coordination in your limbs, inability to maintain your trunk posture, dizziness, nausea, involuntary eye movement, double vision, difficulty speaking, or difficulty swallowing.
 This is inflammation affecting a region of the brain known as the limbic system, which controls emotions, behaviors and certain memory functions. People with this disorder may experience personality changes or mood disturbances, memory loss, seizures, hallucinations, or drowsiness.
 This syndrome refers to inflammation of the brain and spinal cord. There may be a wide variety of symptoms and signs depending on the area affected.
 This syndrome is due to dysfunction of the cerebellum or its connections. It can cause rapid, irregular eye movements (opsoclonus) and involuntary, chaotic muscle jerks (myoclonus) in your limbs and trunk.
 Previously called stiff man syndrome, this syndrome is characterized by progressive, severe muscle stiffness or rigidity, mainly affecting your spine and legs. It may also cause painful muscle spasms.
 This term refers to a syndrome of injury limited to the spinal cord. Depending on the level of spinal cord injury, you may have changes in bowel and bladder function, and severe weakness and numbness up to a certain level in your body. If the level of injury includes your neck, you can have severe disability affecting all four limbs.

    

    

    

    

    

    
 Neuromyotonia — also known as Isaacs' syndrome — is characterized by abnormal impulses in nerve cells outside the brain and spinal cord (peripheral nerve hyperexcitability) that control muscle movement. These impulses can cause twitching, muscle rippling that looks like a ""bag of worms,"" progressive stiffness, muscle cramps, slowed movement and other muscle impairments.
 This condition refers to patterns of damage to nerves that transmit messages from the brain or spinal column to the rest of your body. When damage involves only the sensory nerves of the peripheral nervous system, you can have pain and disturbances in sensation anywhere in your body.
 Dysautonomia refers to a wide range of signs and symptoms resulting from injury to the nerves that regulate involuntary body functions (autonomic nervous system), such as heart rate, blood pressure, sweating, and bowel and bladder functions. When this part of the nervous system is affected, common symptoms are low blood pressure, irregular heartbeats and trouble breathing.
"
Endometrial cancer,"Vaginal bleeding after menopause.
Bleeding between periods.
Pelvic pain.

    

    

    

    
 Starting menstruation before age 12 or beginning menopause later increases the risk of endometrial cancer. The more periods you've had, the more exposure your endometrium has had to estrogen.
 If you've never been pregnant, you have a higher risk of endometrial cancer than someone who has had at least one pregnancy.
 As you get older, your risk of endometrial cancer increases. Endometrial cancer occurs most often after menopause.
 Being obese increases your risk of endometrial cancer. This may happen because extra body fat can alter your body's balance of hormones.
 Taking the hormone therapy medicine tamoxifen for breast cancer can increase the risk of developing endometrial cancer. If you're taking tamoxifen, talk about the risk with your health care team. For most, the benefits of tamoxifen outweigh the small risk of endometrial cancer.
 Lynch syndrome increases the risk of colon cancer and other cancers, including endometrial cancer. Lynch syndrome is caused by a DNA change that's passed from parents to children. If a family member has been diagnosed with Lynch syndrome, ask your health care team about your risk of this genetic syndrome. If you've been diagnosed with Lynch syndrome, ask what cancer screenings you need.
 If you're considering hormone replacement therapy to help control menopause symptoms, ask about the risks and benefits. Unless you've had your uterus removed, replacing estrogen alone after menopause may increase your risk of endometrial cancer. A hormone therapy medicine that combines estrogen and progestin can reduce this risk. Hormone therapy carries other risks, so weigh the benefits and risks with your health care team.
 Using oral contraceptives for at least one year may reduce endometrial cancer risk. Oral contraceptives are contraceptives that are taken in pill form. They also are called birth control pills. The risk reduction is thought to last for several years after you stop taking oral contraceptives. Oral contraceptives have side effects, though, so discuss the benefits and risks with your health care team.
 Obesity increases the risk of endometrial cancer, so work to achieve and maintain a healthy weight. If you need to lose weight, increase your physical activity and reduce the number of calories you eat each day.
"
C. difficile infection,"Watery diarrhea three or more times a day for more than one day.
Mild belly cramping and tenderness.
Watery diarrhea as often as 10 to 15 times a day.
Belly cramping and pain, which may be severe.
Fast heart rate.
Loss of fluids, called dehydration.
Fever.
Nausea.
Increased white blood cell count.
Kidney failure.
Loss of appetite.
Swollen belly.
Weight loss.
Blood or pus in the stool.
Three or more watery stools a day.
Symptoms lasting more than two days.
A new fever.
Severe belly pain or cramping.
Blood in your stool.
Human or animal feces.
Surfaces in a room.
Unwashed hands.
Soil.
Water.
Food, including meat.
Clindamycin.
Cephalosporins.
Penicillins.
Fluoroquinolones.
Hands.
Cart handles.
Bedrails.
Bedside tables.
Toilets and sinks.
Stethoscopes, thermometers or other medical tools.
Telephones.
Remote controls.
Inflammatory bowel disease.
Weakened immune system from a medical condition or treatment such as chemotherapy.
Chronic kidney disease.
Procedures on the digestive tract.
Other surgery of the stomach area.
 Severe diarrhea can lead to a serious loss of fluids and minerals called electrolytes. This makes it hard for the body to work as it should. It can cause blood pressure to drop so low as to be dangerous.
 In some cases, dehydration can occur so quickly that the kidneys stop working, called kidney failure.


 This rare condition results from damage to the lining of the colon or occurs after toxic megacolon. Bacteria spilling from the colon into the hollow space in the middle of the body, called the abdominal cavity, can lead to a life-threatening infection called peritonitis.
 Serious C. difficile infection can quickly become fatal if not treated promptly. Rarely, death can occur with mild to moderate infection.


 People who are hospitalized with C. difficile infection have a private room or share a room with someone who has the same illness. Hospital staff and visitors wear disposable gloves and isolation gowns while in the room.
 In any health care setting, all surfaces should be carefully disinfected with a product that has chlorine bleach. C. difficile spores can survive cleaning products that don't have bleach.
"
